text,x,y,label
Gemische,229.4395294189453,405.6001892089844,unknown
·,79.55996704101562,416.64019775390625,unknown
Beschreibung:,84.59996032714844,416.76019287109375,unknown
Gemisch,147.48001098632812,416.52020263671875,unknown
aus,184.92025756835938,416.52020263671875,unknown
nachfolgend,201.36184692382812,416.52020263671875,unknown
angeführten,253.5554962158203,416.52020263671875,unknown
Stoffen,304.5505676269531,416.52020263671875,unknown
mit,334.9039306640625,416.52020263671875,unknown
ungefährlichen,350.14227294921875,416.52020263671875,unknown
Beimengungen.,413.39202880859375,416.52020263671875,unknown
·,79.55996704101562,430.68017578125,unknown
Gefährliche,84.59996032714844,430.8001708984375,unknown
Inhaltsstoffe:,136.43844604492188,430.8001708984375,unknown
CAS:,84.59996032714844,444.60015869140625,unknown
115-10-6,108.23837280273438,444.60015869140625,CAS
Dimethylether,206.04029846191406,444.60015869140625,unknown
20-<25%,481.3197021484375,444.60015869140625,unknown
EINECS:,84.59996032714844,455.8801574707031,unknown
204-065-8,124.31676483154297,455.8801574707031,EC_Nr
Flam.,219.83990478515625,457.2001647949219,unknown
Gas,245.998291015625,457.2001647949219,unknown
1-comma-,264.6015319824219,457.2001647949219,unknown
H220,274.6814880371094,457.2001647949219,hcode
Indexnummer:,84.59996032714844,467.16015625,unknown
603-019-00-8,145.56053161621094,467.16015625,IndexNr
Press.,206.03994750976562,467.16015625,unknown
Gas,233.16162109375,467.16015625,unknown
C-comma-,251.764892578125,467.16015625,unknown
H280,263.4048156738281,467.16015625,hcode
Reg.nr.:,84.59996032714844,478.4401550292969,unknown
01-2119472128-37,119.99854278564453,478.4401550292969,ReachNr
CAS:,84.59996032714844,492.48016357421875,unknown
141-78-6,108.23837280273438,492.48016357421875,CAS
Ethylacetat,206.04029846191406,492.48016357421875,unknown
12-comma-5-<20%,477.47998046875,492.48016357421875,unknown
EINECS:,84.59996032714844,503.7601623535156,unknown
205-500-4,124.31676483154297,503.7601623535156,EC_Nr
Flam.,219.83990478515625,505.08013916015625,unknown
Liq.,245.998291015625,505.08013916015625,unknown
2-comma-,264.35809326171875,505.08013916015625,unknown
H225,274.43804931640625,505.08013916015625,hcode
Indexnummer:,84.59996032714844,515.0401611328125,unknown
607-022-00-5,145.56053161621094,515.0401611328125,IndexNr
Eye,219.83990478515625,515.0401611328125,unknown
