x,y,label
92,486,key
92,704,key
92,497,key
92,716,key
92,520,key
92,543,key
92,382,key
92,394,key
92,612,key
92,405,key
92,417,key
92,635,key
92,440,key
92,463,key
229,486,key
229,704,key
124,497,key
140,635,key
164,716,key
257,716,key
205,474,nonkey
205,681,nonkey
205,693,nonkey
205,486,nonkey
205,704,nonkey
205,509,nonkey
205,532,nonkey
205,555,nonkey
205,566,nonkey
205,589,nonkey
205,601,nonkey
205,382,nonkey
205,394,nonkey
205,612,nonkey
205,405,nonkey
205,624,nonkey
205,428,nonkey
205,647,nonkey
205,451,nonkey
205,658,nonkey
229,566,nonkey
229,474,nonkey
229,693,nonkey
229,601,nonkey
229,509,nonkey
229,428,nonkey
229,532,nonkey
229,451,nonkey
229,658,nonkey
222,681,nonkey
222,589,nonkey
222,624,nonkey
222,647,nonkey
222,555,nonkey
233,612,nonkey
233,716,nonkey
