x,y,label
61,568,key
61,641,key
61,697,key
61,579,key
61,658,key
61,714,key
61,613,key
61,731,key
61,624,key
117,568,key
69,591,key
69,669,key
69,602,key
69,681,key
152,681,key
136,714,key
162,714,key
261,641,nonkey
261,697,nonkey
261,591,nonkey
261,669,nonkey
261,602,nonkey
261,714,nonkey
261,613,nonkey
261,681,nonkey
261,731,nonkey
261,624,nonkey
287,624,nonkey
287,641,nonkey
287,669,nonkey
287,714,nonkey
287,681,nonkey
287,731,nonkey
131,681,nonkey
342,681,nonkey
355,681,nonkey
279,697,nonkey
