x,y,label
84,209,key
84,271,key
84,226,key
84,187,key
84,158,key
84,198,key
84,254,key
84,175,key
120,187,key
148,226,key
92,282,key
92,294,key
92,237,key
313,237,key
264,254,nonkey
264,209,nonkey
264,175,nonkey
264,282,nonkey
264,294,nonkey
264,187,nonkey
264,237,nonkey
264,158,nonkey
264,198,nonkey
288,254,nonkey
288,209,nonkey
288,282,nonkey
288,294,nonkey
288,187,nonkey
288,158,nonkey
288,198,nonkey
114,175,nonkey
128,175,nonkey
141,175,nonkey
290,175,nonkey
333,175,nonkey
132,226,nonkey
205,226,nonkey
177,254,nonkey
