x,y,label
49,438,key
49,548,key
49,456,key
49,560,key
49,468,key
49,583,key
49,482,key
49,496,key
49,510,key
49,382,key
49,523,key
49,394,key
49,536,key
49,408,key
279,560,key
279,382,key
119,482,key
78,510,key
76,523,key
279,408,nonkey
279,482,nonkey
279,438,nonkey
279,496,nonkey
279,548,nonkey
279,510,nonkey
279,394,nonkey
85,438,nonkey
102,438,nonkey
115,438,nonkey
292,438,nonkey
292,468,nonkey
304,536,nonkey
304,468,nonkey
101,482,nonkey
293,482,nonkey
293,548,nonkey
306,482,nonkey
291,496,nonkey
294,510,nonkey
287,536,nonkey
287,583,nonkey
77,548,nonkey
94,548,nonkey
107,548,nonkey
318,548,nonkey
54,571,nonkey
71,571,nonkey
84,571,nonkey
