x,y,label
84,456,key
84,552,key
84,371,key
84,563,key
84,676,key
84,242,key
84,484,key
84,253,key
84,574,key
84,388,key
84,709,key
84,591,key
84,726,key
84,287,key
84,405,key
84,524,key
84,298,key
84,422,key
84,315,key
84,619,key
84,439,key
84,540,key
84,332,key
84,636,key
133,242,key
92,659,key
92,602,key
92,687,key
92,495,key
92,264,key
92,276,key
92,343,key
92,507,key
92,647,key
92,354,key
152,388,key
175,388,key
352,439,key
120,552,key
148,591,key
335,602,key
264,354,nonkey
264,552,nonkey
264,371,nonkey
264,563,nonkey
264,574,nonkey
264,388,nonkey
264,405,nonkey
264,602,nonkey
264,422,nonkey
264,439,nonkey
264,619,nonkey
264,647,nonkey
264,456,nonkey
264,659,nonkey
264,467,nonkey
264,698,nonkey
264,495,nonkey
264,264,nonkey
264,276,nonkey
264,507,nonkey
264,726,nonkey
264,287,nonkey
264,298,nonkey
264,523,nonkey
264,315,nonkey
264,343,nonkey
264,540,nonkey
296,276,nonkey
288,647,nonkey
288,354,nonkey
288,552,nonkey
288,659,nonkey
288,371,nonkey
288,563,nonkey
288,574,nonkey
288,388,nonkey
288,602,nonkey
288,298,nonkey
288,422,nonkey
288,315,nonkey
288,619,nonkey
288,343,nonkey
339,354,nonkey
339,371,nonkey
351,354,nonkey
351,371,nonkey
282,456,nonkey
282,405,nonkey
283,439,nonkey
318,439,nonkey
330,439,nonkey
327,456,nonkey
364,456,nonkey
356,467,nonkey
279,495,nonkey
284,507,nonkey
287,523,nonkey
139,524,nonkey
154,524,nonkey
166,524,nonkey
114,540,nonkey
128,540,nonkey
141,540,nonkey
285,540,nonkey
132,591,nonkey
205,591,nonkey
309,602,nonkey
177,619,nonkey
290,698,nonkey
267,709,nonkey
