x,y,label
84,231,key
84,310,key
84,383,key
84,417,key
84,276,key
84,293,key
84,349,key
84,400,key
84,220,key
84,366,key
84,445,key
133,220,key
92,456,key
92,242,key
92,253,key
92,321,key
92,332,key
92,428,key
224,242,key
311,366,key
311,383,key
148,417,key
272,428,key
224,366,nonkey
224,400,nonkey
224,456,nonkey
224,253,nonkey
224,321,nonkey
224,265,nonkey
224,383,nonkey
224,332,nonkey
224,276,nonkey
224,349,nonkey
224,428,nonkey
224,293,nonkey
123,293,nonkey
137,293,nonkey
150,293,nonkey
245,293,nonkey
248,321,nonkey
248,332,nonkey
248,349,nonkey
242,366,nonkey
242,383,nonkey
277,366,nonkey
277,383,nonkey
289,366,nonkey
289,383,nonkey
114,400,nonkey
128,400,nonkey
141,400,nonkey
141,456,nonkey
249,400,nonkey
292,400,nonkey
132,417,nonkey
205,417,nonkey
156,456,nonkey
168,456,nonkey
252,456,nonkey
275,456,nonkey
