x,y,label
92,325,key
92,336,key
92,348,key
92,520,key
92,532,key
92,359,key
92,371,key
92,233,key
92,244,key
92,256,key
92,267,key
92,440,key
92,279,key
92,302,key
92,463,key
205,233,key
205,336,key
264,336,key
124,348,key
140,463,key
229,520,key
164,532,key
257,532,key
205,463,nonkey
205,474,nonkey
205,497,nonkey
205,509,nonkey
205,520,nonkey
205,382,nonkey
205,394,nonkey
205,244,nonkey
205,417,nonkey
205,256,nonkey
205,428,nonkey
205,267,nonkey
205,440,nonkey
205,290,nonkey
205,451,nonkey
205,313,nonkey
228,325,nonkey
228,267,nonkey
229,313,nonkey
229,394,nonkey
229,509,nonkey
229,428,nonkey
229,290,nonkey
214,325,nonkey
214,359,nonkey
219,348,nonkey
233,463,nonkey
233,348,nonkey
233,440,nonkey
233,532,nonkey
247,359,nonkey
222,382,nonkey
222,474,nonkey
222,497,nonkey
222,417,nonkey
222,451,nonkey
