x,y,label
48,529,key
48,279,key
48,403,key
48,292,key
48,544,key
48,306,key
48,419,key
48,434,key
48,570,key
48,450,key
48,334,key
48,476,key
48,362,key
48,617,key
48,498,key
48,224,key
48,633,key
48,236,key
48,648,key
48,248,key
48,389,key
48,262,key
48,663,key
218,224,key
118,306,key
77,389,key
75,403,key
116,450,key
49,514,key
394,529,key
143,544,key
69,584,key
66,601,key
218,236,nonkey
218,248,nonkey
362,292,nonkey
362,419,nonkey
362,434,nonkey
362,319,nonkey
362,570,nonkey
362,584,nonkey
362,601,nonkey
362,617,nonkey
362,498,nonkey
362,633,nonkey
362,648,nonkey
362,262,nonkey
362,663,nonkey
383,262,nonkey
383,663,nonkey
383,292,nonkey
383,419,nonkey
383,434,nonkey
383,319,nonkey
383,570,nonkey
383,584,nonkey
383,476,nonkey
383,601,nonkey
383,617,nonkey
383,498,nonkey
383,633,nonkey
383,648,nonkey
100,306,nonkey
392,306,nonkey
409,334,nonkey
409,306,nonkey
48,348,nonkey
48,601,nonkey
48,319,nonkey
48,584,nonkey
359,334,nonkey
397,334,nonkey
397,514,nonkey
330,348,nonkey
355,348,nonkey
381,348,nonkey
63,374,nonkey
63,556,nonkey
63,461,nonkey
78,374,nonkey
120,374,nonkey
152,374,nonkey
301,374,nonkey
391,374,nonkey
341,389,nonkey
378,389,nonkey
394,389,nonkey
394,403,nonkey
338,403,nonkey
373,403,nonkey
348,476,nonkey
403,476,nonkey
53,487,nonkey
70,487,nonkey
83,487,nonkey
77,514,nonkey
94,514,nonkey
106,544,nonkey
106,514,nonkey
342,514,nonkey
377,514,nonkey
360,529,nonkey
379,529,nonkey
96,544,nonkey
84,556,nonkey
