x,y,label
39,288,key
39,252,key
84,252,key
31,264,key
31,344,key
31,275,key
31,311,key
31,355,key
31,366,key
31,333,key
31,377,key
31,300,key
75,288,key
129,288,key
200,288,key
294,288,key
324,333,key
303,355,key
303,300,nonkey
303,264,nonkey
303,344,nonkey
303,388,nonkey
303,275,nonkey
303,311,nonkey
303,322,nonkey
303,366,nonkey
303,377,nonkey
303,333,nonkey
111,288,nonkey
183,288,nonkey
256,288,nonkey
280,288,nonkey
322,300,nonkey
322,344,nonkey
322,388,nonkey
322,311,nonkey
322,322,nonkey
322,366,nonkey
322,377,nonkey
31,322,nonkey
31,388,nonkey
76,333,nonkey
84,388,nonkey
97,388,nonkey
