x,y,label
92,296,key
92,365,key
92,158,key
92,446,key
92,319,key
92,273,key
92,411,key
190,273,key
248,273,key
299,273,key
205,285,key
205,434,key
272,296,key
239,308,key
140,365,key
140,319,key
164,446,key
301,457,key
205,411,nonkey
205,423,nonkey
205,308,nonkey
205,158,nonkey
205,170,nonkey
205,181,nonkey
205,319,nonkey
205,193,nonkey
205,331,nonkey
205,204,nonkey
205,457,nonkey
205,342,nonkey
205,216,nonkey
205,354,nonkey
205,227,nonkey
205,469,nonkey
205,239,nonkey
205,365,nonkey
205,250,nonkey
205,377,nonkey
205,262,nonkey
205,388,nonkey
205,400,nonkey
233,204,nonkey
233,227,nonkey
233,158,nonkey
233,446,nonkey
233,181,nonkey
222,331,nonkey
222,216,nonkey
222,354,nonkey
222,239,nonkey
222,308,nonkey
222,377,nonkey
222,170,nonkey
222,262,nonkey
222,388,nonkey
222,400,nonkey
222,193,nonkey
227,342,nonkey
227,365,nonkey
227,250,nonkey
227,319,nonkey
141,273,nonkey
189,296,nonkey
292,296,nonkey
319,296,nonkey
282,308,nonkey
248,411,nonkey
278,411,nonkey
316,411,nonkey
337,411,nonkey
242,423,nonkey
258,423,nonkey
298,434,nonkey
277,457,nonkey
277,446,nonkey
307,446,nonkey
345,446,nonkey
224,457,nonkey
261,457,nonkey
