x,y,label
92,503,key
92,630,key
92,296,key
92,147,key
92,526,key
92,641,key
92,158,key
92,170,key
92,411,key
92,549,key
92,181,key
92,342,key
92,572,key
92,446,key
92,227,key
92,354,key
92,457,key
92,262,key
92,480,key
92,607,key
92,285,key
205,216,key
205,147,key
205,388,key
247,319,key
229,342,key
229,630,key
450,342,key
124,354,key
223,365,key
223,423,key
233,400,key
281,400,key
122,411,key
130,503,key
130,526,key
189,526,key
272,572,key
140,607,key
164,641,key
257,641,key
205,503,nonkey
205,515,nonkey
205,308,nonkey
205,538,nonkey
205,319,nonkey
205,549,nonkey
205,331,nonkey
205,561,nonkey
205,342,nonkey
205,584,nonkey
205,365,nonkey
205,377,nonkey
205,607,nonkey
205,618,nonkey
205,400,nonkey
205,630,nonkey
205,158,nonkey
205,170,nonkey
205,423,nonkey
205,193,nonkey
205,434,nonkey
205,204,nonkey
205,239,nonkey
205,469,nonkey
205,480,nonkey
205,273,nonkey
205,492,nonkey
233,285,nonkey
233,446,nonkey
233,641,nonkey
233,170,nonkey
233,595,nonkey
233,262,nonkey
233,607,nonkey
231,308,nonkey
231,193,nonkey
274,193,nonkey
316,193,nonkey
229,239,nonkey
229,584,nonkey
229,538,nonkey
92,250,nonkey
92,595,nonkey
214,285,nonkey
214,446,nonkey
214,250,nonkey
214,457,nonkey
214,595,nonkey
214,262,nonkey
228,250,nonkey
228,319,nonkey
236,457,nonkey
236,273,nonkey
236,388,nonkey
248,308,nonkey
275,308,nonkey
292,572,nonkey
292,308,nonkey
309,319,nonkey
379,342,nonkey
428,342,nonkey
284,365,nonkey
284,423,nonkey
308,365,nonkey
308,423,nonkey
224,434,nonkey
224,377,nonkey
341,377,nonkey
312,388,nonkey
336,388,nonkey
345,388,nonkey
358,388,nonkey
219,400,nonkey
258,400,nonkey
339,400,nonkey
222,618,nonkey
222,515,nonkey
222,469,nonkey
222,492,nonkey
227,480,nonkey
252,549,nonkey
266,549,nonkey
189,572,nonkey
281,584,nonkey
296,584,nonkey
147,595,nonkey
