x,y,label
87,349,key
87,484,key
87,360,key
87,500,key
87,595,key
87,377,key
87,691,key
87,394,key
87,517,key
87,612,key
87,708,key
87,623,key
87,433,key
87,635,key
87,304,key
87,450,key
87,646,key
87,315,key
87,556,key
87,663,key
87,467,key
143,304,key
95,416,key
95,579,key
95,730,key
95,674,key
95,326,key
95,405,key
95,567,key
95,338,key
95,719,key
288,327,key
179,416,key
162,450,key
189,450,key
382,517,key
382,501,key
136,517,key
340,528,key
128,623,key
159,663,key
363,674,key
288,467,nonkey
288,484,nonkey
288,674,nonkey
288,501,nonkey
288,691,nonkey
288,517,nonkey
288,719,nonkey
288,730,nonkey
288,528,nonkey
288,539,nonkey
288,567,nonkey
288,338,nonkey
288,349,nonkey
288,579,nonkey
288,360,nonkey
288,377,nonkey
288,596,nonkey
288,612,nonkey
288,405,nonkey
288,624,nonkey
288,417,nonkey
288,433,nonkey
288,635,nonkey
288,646,nonkey
288,450,nonkey
313,405,nonkey
313,719,nonkey
313,484,nonkey
313,624,nonkey
313,730,nonkey
313,360,nonkey
313,635,nonkey
313,377,nonkey
313,646,nonkey
313,691,nonkey
313,450,nonkey
313,612,nonkey
158,416,nonkey
308,517,nonkey
308,501,nonkey
346,517,nonkey
346,501,nonkey
358,517,nonkey
358,501,nonkey
478,517,nonkey
510,517,nonkey
304,567,nonkey
304,528,nonkey
441,528,nonkey
350,539,nonkey
310,579,nonkey
148,595,nonkey
165,595,nonkey
302,596,nonkey
142,663,nonkey
223,663,nonkey
312,674,nonkey
335,674,nonkey
197,691,nonkey
