x,y,label
39,452,key
39,475,key
39,256,key
39,682,key
39,280,key
39,498,key
39,303,key
39,521,key
39,326,key
39,544,key
39,349,key
39,371,key
39,567,key
39,394,key
39,590,key
39,613,key
39,441,key
39,636,key
39,234,key
39,659,key
123,234,key
288,234,key
75,441,key
78,521,key
332,544,key
373,544,key
84,659,key
95,682,key
288,659,nonkey
288,475,nonkey
288,256,nonkey
288,682,nonkey
288,280,nonkey
288,498,nonkey
288,303,nonkey
288,521,nonkey
288,326,nonkey
288,544,nonkey
288,349,nonkey
288,371,nonkey
288,567,nonkey
288,394,nonkey
288,590,nonkey
288,418,nonkey
288,613,nonkey
288,636,nonkey
288,441,nonkey
315,280,nonkey
313,659,nonkey
313,475,nonkey
313,682,nonkey
313,498,nonkey
313,303,nonkey
313,326,nonkey
313,349,nonkey
313,371,nonkey
313,567,nonkey
313,590,nonkey
313,418,nonkey
313,613,nonkey
313,636,nonkey
313,441,nonkey
301,394,nonkey
39,418,nonkey
106,441,nonkey
189,441,nonkey
327,521,nonkey
363,544,nonkey
136,567,nonkey
