x,y,label
91,120,key
91,203,key
91,79,key
91,224,key
91,89,key
148,79,key
169,79,key
138,224,key
138,89,key
81,99,key
93,182,key
93,162,key
93,110,key
93,172,key
93,192,key
95,130,key
125,130,key
92,141,key
92,213,key
280,162,key
319,162,key
130,213,key
81,120,nonkey
81,182,nonkey
81,203,nonkey
81,79,nonkey
81,224,nonkey
81,162,nonkey
81,110,nonkey
81,130,nonkey
81,172,nonkey
81,192,nonkey
81,213,nonkey
81,89,nonkey
280,89,nonkey
280,120,nonkey
280,182,nonkey
280,203,nonkey
280,224,nonkey
280,79,nonkey
280,110,nonkey
280,141,nonkey
280,172,nonkey
280,192,nonkey
280,213,nonkey
304,89,nonkey
304,120,nonkey
304,182,nonkey
304,203,nonkey
304,224,nonkey
304,79,nonkey
304,110,nonkey
304,172,nonkey
304,192,nonkey
304,213,nonkey
328,89,nonkey
328,120,nonkey
328,182,nonkey
328,203,nonkey
328,224,nonkey
328,79,nonkey
328,110,nonkey
328,172,nonkey
328,192,nonkey
328,213,nonkey
373,172,nonkey
373,192,nonkey
373,213,nonkey
373,89,nonkey
373,120,nonkey
373,182,nonkey
373,203,nonkey
373,224,nonkey
373,79,nonkey
373,110,nonkey
395,172,nonkey
395,192,nonkey
395,213,nonkey
395,89,nonkey
395,120,nonkey
395,182,nonkey
395,203,nonkey
395,224,nonkey
395,79,nonkey
395,110,nonkey
202,89,nonkey
308,141,nonkey
331,141,nonkey
92,151,nonkey
107,151,nonkey
118,151,nonkey
133,151,nonkey
309,162,nonkey
178,172,nonkey
